keys,en,zh,cmn,ja,ko,es,ru
BACK,Back,返回,返回,戻る,돌아가기,Volver,Вернуться
HOMEPAGE,Back to Homepage,返回主頁,返回主页,ホームページに戻る,홈페이지로 돌아가기,Volver a la página principal,Вернуться на главную страницу
SETTINGS,Settings,Settings,设置,設定,설정,Configuración,Настройки
BTN_STORY_MODE,Story Mode,故事模式,故事模式,ストーリーモード,스토리 모드,Modo Historia,Сюжетный режим
BTN_ENDLESS_MODE,Endless Mode,无尽模式,无尽模式,エンドレスモード,무한 모드,Modo Infinito,Бесконечный режим
QUIT_GAME,QUIT_GAME,離開遊戲,离开游戏,ゲームをやめる,게임 나가기,Salir del juego,Выйти из игры
GUIDE_SKIP_STORY,Hold the right mouse button to skip the story,長按右鍵以跳過劇情,长按右键以跳过剧情,右クリックを長押ししてストーリーをスキップ,오른쪽 클릭을 길게 눌러 스토리 건너뛰기,Mantén presionado el botón derecho para saltar la historia,"Долго удерживайте правую кнопку, чтобы пропустить сюжет"
CASSIDY,Cassidy,卡西迪,卡西迪,カシディ,캐시디,Cassidy,Кассиди
STAGE_1_VOICE_1,"Hm... another daredevil. Tell me, cowgirl, what exactly drives you here?",嗯…又來了一個不怕死的。告訴我，牛仔，究竟是甚麽驅使你前來的？,嗯…又來了一個不怕死的。告訴我，牛仔，究竟是甚麽驅使你前來的？,ふむ…また一人、命知らずが来たか。教えてくれ、カウガール。一体何がお前をここまで駆り立てる？,"흠... 또 겁 없는 자가 왔군. 말해봐라, 카우걸. 대체 무엇이 널 여기까지 오게 했지?","Hmm... otro temerario. Dime, vaquera, ¿qué es exactamente lo que te trae aquí?","Хм… ещё один смельчак. Скажи-ка, ковбойка, что именно привело тебя сюда?"
STAGE_1_CASSIDY_1,"...There are two kinds of cowboys: those who raise cattle, and those who carry a gun. Obviously, I'm the latter.",…牛仔有兩種，一種是養牛的，第二種是拿槍的。很顯然，我是後者。,…牛仔有兩種，一種是養牛的，第二種是拿槍的。很顯然，我是後者。,…カウボーイには二種類いる。牛を育てる者と、銃を持つ者。明らかに、私は後者だ。,"...카우보이는 두 종류가 있지. 소를 키우는 자와 총을 든 자. 분명히, 난 후자야.","...Hay dos tipos de vaqueros: los que crían ganado y los que portan un arma. Obviamente, yo soy de los segundos.","…Есть два типа ковбоев: те, кто разводит скот, и те, кто носит оружие. Очевидно, я из последних."
STAGE_1_VOICE_2,"Since you've made your choice, then go on in. Let's see just how far that choice of yours can take you.",既然你做出了選擇，那就進去吧。我就看看你的選擇，能支撐你走多遠吧。,既然你做出了選擇，那就進去吧。我就看看你的選擇，能支撐你走多遠吧。,選択をしたというなら、入るがいい。その選択が、お前をどこまで支えられるか、見せてもらおうか。,"선택을 했으니, 들어가라. 네 선택이 널 어디까지 버티게 할 수 있을지 지켜보지.","Ya que has tomado tu decisión, adelante. Veamos hasta dónde te puede llevar esa elección tuya.","Раз уж ты сделала свой выбор, тогда входи. Посмотрим, как далеко этот твой выбор сможет тебя завести."
